"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AU1","AU2","AW1","AW2","AX1","AX2","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MW1","OC1","OD1","OE1","OE2","OE3","REM","EQD"
"72484653123","2024-01-01T08:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","320,5,N,0015,5","02134,5,M,N","012875,5,N,5","+0100,5","+0022,5","10217,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+02134,5,99,9",,,"3,99,1,+02134,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,02134,1,99,9,99,9",,,,,,,,,,,"10203,5,09417,5","3,9,001,9,+999,9",,,,,,,,,,"MET09801/01/24 00:53:02 METAR KVGT 010853Z 32003KT 8SM BKN070 10/02 A3013 RMK AO2 SLP217 T01000022 53001",
"72484653123","2024-01-01T09:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","300,5,N,0021,5","22000,5,9,N","011265,5,N,5","+0089,5","+0017,5","10219,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10203,5,09417,5",,,,,,,,,,,"MET08901/01/24 01:53:02 METAR KVGT 010953Z 30004KT 7SM CLR 09/02 A3013 RMK AO2 SLP219 T00890017",
"72484653123","2024-01-01T10:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","300,5,N,0015,5","22000,5,9,N","014484,5,N,5","+0083,5","+0022,5","10218,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01676,5,99,9",,,"1,99,1,+01676,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01676,1,99,9,99,9",,,,,,,,,,,"10203,5,09417,5",,,,,,,,,,,"MET09201/01/24 02:53:02 METAR KVGT 011053Z 30003KT 9SM FEW055 08/02 A3013 RMK AO2 SLP218 T00830022","D01      0ADE726"
"72484653123","2024-01-01T11:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0078,5","+0022,5","10217,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,+0111,1","060,N,+0072,1",,,,,,,,,"10200,5,09413,5","8,9,001,9,+999,9",,,,,,,,,,"MET10801/01/24 03:53:02 METAR KVGT 011153Z 00000KT 10SM CLR 08/02 A3012 RMK AO2 SLP217 T00780022 10111 20072 58001",
"72484653123","2024-01-01T12:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","310,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0067,5","+0017,5","10220,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10203,5,09417,5",,,,,,,,,,,"MET09001/01/24 04:53:02 METAR KVGT 011253Z 31003KT 10SM CLR 07/02 A3013 RMK AO2 SLP220 T00670017",
"72484653123","2024-01-01T13:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","290,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0061,5","+0011,5","10224,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10207,5,09420,5",,,,,,,,,,,"MET09501/01/24 05:53:02 METAR KVGT 011353Z 29004KT 10SM CLR 06/01 A3014 RMK AO2 SLP224 T00610011 (EZ)",
"72484653123","2024-01-01T14:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","270,5,N,0031,5","01829,5,M,N","016093,5,N,5","+0061,5","+0017,5","10228,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+01829,5,99,9","07,5,+02286,5,99,9",,"3,99,1,+01829,5,9","3,99,1,+02286,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01829,1,99,9,99,9",,,,,,,,,,,"10210,5,09423,5","3,9,007,9,+999,9",,,,,,,,,,"MET11101/01/24 06:53:02 METAR KVGT 011453Z 27006KT 10SM BKN060 BKN075 06/02 A3015 RMK AO2 SLP228 T00610017 53007 (EZ)",
"72484653123","2024-01-01T15:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","320,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0067,5","+0017,5","10230,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10210,5,09423,5",,,,,,,,,,,"MET09501/01/24 07:53:02 METAR KVGT 011553Z 32004KT 10SM CLR 07/02 A3015 RMK AO2 SLP230 T00670017 (EZ)",
"72484653123","2024-01-01T16:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0106,5","+0022,5","10233,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10217,5,09429,5",,,,,,,,,,,"MET09501/01/24 08:53:02 METAR KVGT 011653Z 00000KT 10SM CLR 11/02 A3017 RMK AO2 SLP233 T01060022 (FS)",
"72484653123","2024-01-01T17:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0122,5","+0017,5","10234,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,+0122,1","060,N,+0050,1",,,,,,,,,"10220,5,09432,5","1,9,009,9,+999,9",,,,,,,,,,"MET11301/01/24 09:53:02 METAR KVGT 011753Z 00000KT 10SM CLR 12/02 A3018 RMK AO2 SLP234 T01220017 10122 20050 51009 (DY)",
"72484653123","2024-01-01T18:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","180,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0133,5","+0011,5","10227,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10213,5,09426,5",,,,,,,,,,,"MET09501/01/24 10:53:02 METAR KVGT 011853Z 18003KT 10SM CLR 13/01 A3016 RMK AO2 SLP227 T01330011 (DY)",
"72484653123","2024-01-01T19:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0150,5","+0000,5","10214,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10200,5,09413,5",,,,,,,,,,,"MET09501/01/24 11:53:02 METAR KVGT 011953Z 00000KT 10SM CLR 15/00 A3012 RMK AO2 SLP214 T01500000 (DY)",
"72484653123","2024-01-01T20:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,V,0015,5","22000,5,9,N","016093,5,N,5","+0150,5","+0000,5","10204,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10190,5,09404,5","8,9,026,9,+999,9",,,,,,,,,,"MET10101/01/24 12:53:02 METAR KVGT 012053Z VRB03KT 10SM CLR 15/00 A3009 RMK AO2 SLP204 T01500000 58026 (DY)",
"72484653123","2024-01-01T21:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","130,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0156,5","-0006,5","10202,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10190,5,09404,5",,,,,,,,,,,"MET09601/01/24 13:53:02 METAR KVGT 012153Z 13004KT 10SM CLR 16/M01 A3009 RMK AO2 SLP202 T01561006 (DY)",
"72484653123","2024-01-01T22:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","190,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0161,5","-0006,5","10202,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10186,5,09401,5",,,,,,,,,,,"MET09601/01/24 14:53:02 METAR KVGT 012253Z 19004KT 10SM CLR 16/M01 A3008 RMK AO2 SLP202 T01611006 (DY)",
"72484653123","2024-01-01T23:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0161,5","-0011,5","10202,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,+0167,1","060,N,+0117,1",,,,,,,,,"10190,5,09404,5","5,9,002,9,+999,9",,,,,,,,,,"MET11401/01/24 15:53:02 METAR KVGT 012353Z 00000KT 10SM CLR 16/M01 A3009 RMK AO2 SLP202 T01611011 10167 20117 55002 (DY)",
"72484653123","2024-01-02T00:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0150,5","-0011,5","10205,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10190,5,09404,5",,,,,,,,,,,"MET09101/01/24 16:53:01 METAR KVGT 020053Z 00000KT 10SM CLR 15/M01 A3009 RMK AO2 SLP205 T01501011",
"72484653123","2024-01-02T01:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0128,5","-0006,5","10212,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10193,5,09407,5",,,,,,,,,,,"MET09101/01/24 17:53:01 METAR KVGT 020153Z 00000KT 10SM CLR 13/M01 A3010 RMK AO2 SLP212 T01281006",
"72484653123","2024-01-02T02:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","290,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0111,5","+0000,5","10218,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10196,5,09410,5","3,9,009,9,+999,9",,,,,,,,,,"MET09601/01/24 18:53:01 METAR KVGT 020253Z 29006KT 10SM CLR 11/00 A3011 RMK AO2 SLP218 T01110000 53009",
"72484653123","2024-01-02T03:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","300,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0100,5","+0000,5","10223,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10203,5,09417,5",,,,,,,,,,,"MET09001/01/24 19:53:01 METAR KVGT 020353Z 30004KT 10SM CLR 10/00 A3013 RMK AO2 SLP223 T01000000",
"72484653123","2024-01-02T04:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","320,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0100,5","-0011,5","10220,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10203,5,09417,5",,,,,,,,,,,"MET09101/01/24 20:53:02 METAR KVGT 020453Z 32007KT 10SM CLR 10/M01 A3013 RMK AO2 SLP220 T01001011",
"72484653123","2024-01-02T05:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","320,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0111,5","-0022,5","10220,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,+0161,1","060,N,+0089,1",,,,,,,,,"10203,5,09417,5","1,9,006,9,+999,9",,,,,,,,,,"MET10901/01/24 21:53:02 METAR KVGT 020553Z 32007KT 10SM CLR 11/M02 A3013 RMK AO2 SLP220 T01111022 10161 20089 51006",
"72484653123","2024-01-02T06:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","320,5,N,0046,5","22000,5,9,N","016093,5,N,5","+0111,5","-0028,5","10220,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10207,5,09420,5",,,,,,,,,,,"MET09101/01/24 22:53:02 METAR KVGT 020653Z 32009KT 10SM CLR 11/M03 A3014 RMK AO2 SLP220 T01111028",
"72484653123","2024-01-02T07:53:00","7","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","FM-15","KVGT ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0100,5","-0028,5","10221,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0167,1","240,N,+0050,1",,,,,,,,,"10207,5,09420,5",,,,,,,,,,,"MET10101/01/24 23:53:02 METAR KVGT 020753Z 00000KT 10SM CLR 10/M03 A3014 RMK AO2 SLP221 T01001028 401670050",
"72484653123","2024-01-02T07:59:00","6","36.21205","-115.19394","667.4","LAS VEGAS AIR TERMINAL, NV US","SOD  ","KVGT ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"08,6,24,6",,,,,,,,,,"240,M,+0167,5","240,N,+0050,5",,,,,,,,,,,"09416,4,10200,4",,,,,,"1,24,00671,330,9999,5","2,24,00536,320,9999,5","3,24,00156,999,9999,5","SOD70924 HR PRECIPITATION (IN): 0.00 WEATHER(CODE):8  24 HR MAX TEMP (F): 6224 HR MIN TEMP (F): 41AVERAGE STATION PRESSURE:27.805 MINIMUM SEA LEVEL PRESSURE:30.12 TIME OF OCCURRENCE:1449 PEAK WIND SPEED (MPH): 15 PEAK WIND DIR (DEG):330 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 12FASTEST 2MIN DIR (DEG):320 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 3.5 24 HR AVG TEMP (F): 52DEPART FROM NORMAL:  5  HEATING DEGREE DAYS: 13 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):62  LATEST NIGHT MIN TEMP(1900-0800 LST):41 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00","R01     87AXW093"
